minute,rmssd,coverage,hf,lf
2023-12-03T14:15:00.000,57.574,0.973,1200.325,1384.706
2023-12-03T14:20:00.000,57.375,1.002,1198.195,487.279
2023-12-03T14:25:00.000,56.259,1.005,866.753,805.919
2023-12-03T14:30:00.000,53.202,1.003,818.853,453.338
2023-12-03T14:35:00.000,55.917,1.002,898.605,947.167
2023-12-03T14:40:00.000,55.791,0.99,885.423,768.301
2023-12-03T14:45:00.000,53.629,1.002,708.125,573.838
2023-12-03T14:50:00.000,54.029,1.004,793.705,910.08
2023-12-03T15:00:00.000,50.436,0.762,905.895,2315.211
2023-12-03T15:05:00.000,57.292,1.004,923.895,617.605
2023-12-03T15:10:00.000,53.884,0.977,789.014,888.588
2023-12-03T15:15:00.000,55.558,1.003,1007.308,1760.49
2023-12-03T15:20:00.000,53.613,1.004,1007.754,937.832
2023-12-03T15:25:00.000,55.089,0.993,762.439,567.538
2023-12-03T15:30:00.000,56.268,0.94,713.886,3138.232
2023-12-03T15:35:00.000,63.753,1.004,1404.907,1601.034
2023-12-03T15:40:00.000,55.572,0.964,858.309,1404.271
2023-12-03T15:45:00.000,66.87,1.001,1185.655,1962.316
2023-12-03T15:50:00.000,64.164,1.004,1272.085,1530.136
2023-12-03T15:55:00.000,59.963,0.895,1216.928,1445.967
2023-12-03T16:05:00.000,67.061,0.874,1141.209,1561.103
2023-12-03T16:10:00.000,70.653,0.996,1308.956,917.631
2023-12-03T16:15:00.000,63.338,0.916,1052.796,2881.947
2023-12-03T16:20:00.000,87.733,0.98,1894.248,4834.585
2023-12-03T16:25:00.000,94.401,0.92,1822.769,1794.648
2023-12-03T16:30:00.000,95.886,0.902,2198.002,2519.231
2023-12-03T16:35:00.000,80.122,0.893,1312.333,2262.443
2023-12-04T03:00:00.000,66.701,0.8140000000000001,953.013,1253.892
2023-12-04T03:05:00.000,82.477,0.929,1975.195,1213.301
2023-12-04T03:10:00.000,87.268,0.983,2177.815,737.172
2023-12-04T03:15:00.000,71.037,0.955,1331.096,1632.971
2023-12-04T03:20:00.000,71.727,1.006,1664.2,542.534
2023-12-04T03:25:00.000,63.738,1.003,1234.854,557.151
2023-12-04T03:30:00.000,61.616,1.001,1094.386,581.051
2023-12-04T03:35:00.000,68.122,0.994,1365.206,395.21
2023-12-04T03:40:00.000,59.973,1.005,1101.481,503.072
2023-12-04T03:45:00.000,70.627,1.003,1615.705,1056.842
2023-12-04T03:50:00.000,53.2,0.889,808.622,2423.435
2023-12-04T03:55:00.000,53.993,0.975,1017.428,1351.073
2023-12-04T04:00:00.000,49.594,0.96,620.001,1250.656
2023-12-04T04:05:00.000,48.291,0.911,912.637,1469.528
2023-12-04T04:10:00.000,56.255,0.945,922.977,559.084
2023-12-04T04:15:00.000,67.939,0.987,1552.826,2428.983
2023-12-04T04:20:00.000,63.96,0.996,962.846,1171.876
2023-12-04T04:25:00.000,60.427,1.004,803.018,888.902
2023-12-04T04:30:00.000,69.202,1.001,1562.15,586.747
2023-12-04T04:35:00.000,61.599,0.91,766.316,6375.424
2023-12-04T04:40:00.000,66.363,0.952,944.392,761.742
2023-12-04T04:45:00.000,61.707,0.995,1019.995,553.194
2023-12-04T04:50:00.000,69.108,0.982,1571.34,1521.143
2023-12-04T04:55:00.000,60.807,1.005,1063.551,513.807
2023-12-04T05:00:00.000,73.084,0.921,1853.484,2327.559
2023-12-04T05:05:00.000,80.686,0.966,1809.329,1972.605
2023-12-04T05:10:00.000,72.857,0.96,1394.118,2188.124
2023-12-04T05:15:00.000,75.486,0.8220000000000001,1361.536,2287.962
2023-12-04T05:20:00.000,64.548,0.974,1202.399,2341.963
2023-12-04T05:25:00.000,60.117,0.898,803.3,1047.779
2023-12-04T05:30:00.000,95.222,0.91,2733.755,2298.764
2023-12-04T05:35:00.000,80.844,0.98,1711.512,2199.247
2023-12-04T05:40:00.000,70.668,0.988,1425.266,1417.71
2023-12-04T05:45:00.000,83.169,1.002,2364.581,1575.137
2023-12-04T05:50:00.000,68.364,1.006,1503.83,696.837
2023-12-04T05:55:00.000,56.652,0.929,1022.247,1778.189
2023-12-04T06:00:00.000,59.041,0.852,436.242,2999.812
2023-12-04T06:05:00.000,95.759,1.001,3057.21,657.654
2023-12-04T06:10:00.000,74.099,0.981,1198.109,1180.497
2023-12-04T06:15:00.000,68.822,0.98,1479.172,2173.896
2023-12-04T06:20:00.000,67.263,0.987,1173.446,3450.355
2023-12-04T06:25:00.000,62.093,0.991,1226.327,1131.277
2023-12-04T06:30:00.000,65.169,0.935,1182.24,2194.432
2023-12-04T06:35:00.000,67.438,0.946,1104.291,2050.092
2023-12-04T06:40:00.000,59.135,0.844,1129.405,2311.812
2023-12-04T06:45:00.000,61.366,0.916,842.894,791.736
2023-12-04T06:50:00.000,50.418,0.928,791.233,1348.97
2023-12-04T06:55:00.000,57.142,0.842,1050.359,2627.737
2023-12-04T07:00:00.000,58.424,0.931,1051.001,1485.287
2023-12-04T07:05:00.000,62.278,0.949,927.026,1713.219
2023-12-04T07:10:00.000,67.277,0.955,1272.728,1786.081
2023-12-04T07:15:00.000,53.796,0.983,696.986,630.545
2023-12-04T07:20:00.000,53.887,0.992,772.636,768.691
2023-12-04T07:25:00.000,57.651,0.918,1080.461,760.942
2023-12-04T07:35:00.000,47.464,0.8270000000000001,709.076,1729.634
2023-12-04T07:40:00.000,46.725,0.8210000000000001,412.825,564.017
2023-12-04T07:45:00.000,63.655,1.004,1326.855,1469.606
2023-12-04T07:50:00.000,62.792,1.003,860.518,1342.1
2023-12-04T07:55:00.000,77.956,0.968,2160.82,2366.805
2023-12-04T08:00:00.000,69.699,0.974,1362.668,1274.944
2023-12-04T08:05:00.000,64.378,0.935,945.855,2816.912
2023-12-04T08:10:00.000,63.203,0.98,1126.532,1919.385
2023-12-04T08:15:00.000,57.248,0.903,829.415,1986.231
